Year,Commodity,Type,value
2013,Coal,Final consumption,43789068.8101196
2013,Coal,Primary production,165812972.213597
2013,Coal,Transformation,-110368158.406555
2013,Electricity and heat,Final consumption,82239501.8991336
2013,Electricity and heat,Primary production,19834970.6929756
2013,Electricity and heat,Transformation,79112200.7178808
2013,Natural Gas,Final consumption,59146007.9898274
2013,Natural Gas,Primary production,120963911.298407
2013,Natural Gas,Transformation,-49385218.538232
2013,Oil,Final consumption,140641954.62791
2013,Oil,Primary production,176969715.564536
2013,Oil,Transformation,-15901219.2586013
2014,Biofuels and waste,Final consumption,39658438.120649
2014,Biofuels and waste,Primary production,49478287.6649108
2014,Biofuels and waste,Transformation,-9301654.18892617
2014,Coal,Final consumption,44717498.3337671
2014,Coal,Primary production,165184814.224459
2014,Coal,Transformation,-110644850.711405
2014,Electricity and heat,Final consumption,83885401.4207472
2014,Electricity and heat,Primary production,20894140.0069556
2014,Electricity and heat,Transformation,79835711.2419724
2014,Natural Gas,Final consumption,59028319.0460664
2014,Natural Gas,Primary production,124260183.529002
2014,Natural Gas,Transformation,-49393026.876438
2014,Oil,Final consumption,142039447.022953
2014,Oil,Primary production,180201678.945577
2014,Oil,Transformation,-16961355.2970277
2015,Biofuels and waste,Final consumption,39860551.4351157
2015,Biofuels and waste,Primary production,49793891.9890675
2015,Biofuels and waste,Transformation,-9525806.51066323
2015,Coal,Final consumption,44719350.4263307
2015,Coal,Primary production,161016370.208293
2015,Coal,Transformation,-108371083.217935
2015,Electricity and heat,Final consumption,84636229.246793
2015,Electricity and heat,Primary production,21393244.055896
2015,Electricity and heat,Transformation,80122520.8236
2015,Natural Gas,Final consumption,59918458.4825904
2015,Natural Gas,Primary production,125975048.735483
2015,Natural Gas,Transformation,-52003104.4304253
2015,Oil,Final consumption,146562659.664703
2015,Oil,Primary production,184251004.922334
2015,Oil,Transformation,-15848505.2916211
2016,Biofuels and waste,Final consumption,39875376.5695452
2016,Biofuels and waste,Primary production,50489285.2489903
2016,Biofuels and waste,Transformation,-10249143.3807372
2016,Coal,Final consumption,42961726.750297
2016,Coal,Primary production,153248754.10352
2016,Coal,Transformation,-108713225.821451
2016,Electricity and heat,Final consumption,87078769.7888364
2016,Electricity and heat,Primary production,22729910.6415864
2016,Electricity and heat,Transformation,81630910.3764212
2016,Natural Gas,Final consumption,61814943.6160572
2016,Natural Gas,Primary production,128733857.526392
2016,Natural Gas,Transformation,-53224852.7302182
2016,Oil,Final consumption,148320109.295589
