Region Name,Sub-region Name,Year,Source38,Electricity
Americas,Latin America and the Caribbean,1997,Hydro,535844.5
Americas,Latin America and the Caribbean,1997,Natural gas,94578.6555555556
Americas,Latin America and the Caribbean,1997,Nuclear,21586
Americas,Latin America and the Caribbean,1997,Oil,168774.776259333
Americas,Latin America and the Caribbean,1997,"Solar, wind and other sources",7206.7
Americas,Latin America and the Caribbean,1998,Biofuels and waste,13073.355556
Americas,Latin America and the Caribbean,1998,Coal,42172.7
Americas,Latin America and the Caribbean,1998,Hydro,544572.06
Americas,Latin America and the Caribbean,1998,Natural gas,111689.855555556
Americas,Latin America and the Caribbean,1998,Nuclear,19983
Americas,Latin America and the Caribbean,1998,Oil,188671.243333222
Americas,Latin America and the Caribbean,1998,"Solar, wind and other sources",6990.8
Americas,Latin America and the Caribbean,1999,Biofuels and waste,14136.488889
Americas,Latin America and the Caribbean,1999,Coal,45977.9
Americas,Latin America and the Caribbean,1999,Hydro,554683.2353
Americas,Latin America and the Caribbean,1999,Natural gas,121922.144444444
Americas,Latin America and the Caribbean,1999,Nuclear,21085
Americas,Latin America and the Caribbean,1999,Oil,196303.727258667
Americas,Latin America and the Caribbean,1999,"Solar, wind and other sources",7313.3
Americas,Latin America and the Caribbean,2000,Biofuels and waste,14058.3966663333
Americas,Latin America and the Caribbean,2000,Coal,44097.7
Americas,Latin America and the Caribbean,2000,Hydro,583975.3117
Americas,Latin America and the Caribbean,2000,Natural gas,141156.155555556
Americas,Latin America and the Caribbean,2000,Nuclear,20444
Americas,Latin America and the Caribbean,2000,Oil,198761.342982889
Americas,Latin America and the Caribbean,2000,"Solar, wind and other sources",8073.374
Americas,Latin America and the Caribbean,2001,Biofuels and waste,17493.8833328889
Americas,Latin America and the Caribbean,2001,Coal,44522.77
Americas,Latin America and the Caribbean,2001,Hydro,544518.038
Americas,Latin America and the Caribbean,2001,Natural gas,160095.566666667
Americas,Latin America and the Caribbean,2001,Nuclear,30064
Americas,Latin America and the Caribbean,2001,Oil,199160.47234
Americas,Latin America and the Caribbean,2001,"Solar, wind and other sources",8033.274
Americas,Latin America and the Caribbean,2002,Biofuels and waste,18820.5977781111
Americas,Latin America and the Caribbean,2002,Coal,47079.39
Americas,Latin America and the Caribbean,2002,Hydro,565193.538
Americas,Latin America and the Caribbean,2002,Natural gas,177898.118962
Americas,Latin America and the Caribbean,2002,Nuclear,29404
Americas,Latin America and the Caribbean,2002,Oil,183409.850760222
Americas,Latin America and the Caribbean,2002,"Solar, wind and other sources",8141.59
Americas,Latin America and the Caribbean,2003,Biofuels and waste,21021.2105548889
Americas,Latin America and the Caribbean,2003,Coal,54742.29
Americas,Latin America and the Caribbean,2003,Hydro,584358.228
Americas,Latin America and the Caribbean,2003,Natural gas,211716.95017
Americas,Latin America and the Caribbean,2003,Nuclear,31426
Americas,Latin America and the Caribbean,2003,Oil,178069.344829778
Americas,Latin America and the Caribbean,2003,"Solar, wind and other sources",8978.84
Americas,Latin America and the Caribbean,2004,Biofuels and waste,22197.3600007778
Americas,Latin America and the Caribbean,2004,Coal,52580.52
Americas,Latin America and the Caribbean,2004,Hydro,614021.338
Americas,Latin America and the Caribbean,2004,Natural gas,230930.56754
