,series_id,name,iso,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INTL.26-4-GIN-BCF.A,"Dry natural gas exports, Guinea, Annual",GIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-GLP-BCF.A,"Dry natural gas exports, Guadeloupe, Annual",GLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-GMB-BCF.A,"Dry natural gas exports, Gambia, The, Annual",GMB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-GNB-BCF.A,"Dry natural gas exports, Guinea-Bissau, Annual",GNB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-PHL-BCF.A,"Dry natural gas exports, Philippines, Annual",PHL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-ISL-BCF.A,"Dry natural gas exports, Iceland, Annual",ISL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-ISR-BCF.A,"Dry natural gas exports, Israel, Annual",ISR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-ITA-BCF.A,"Dry natural gas exports, Italy, Annual",ITA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1.2,1.2,1.3,1.5,1.5,1.7,1.8,1.8,2.2,1.8,13,14,14,13,2.4,7.4,4.4,5,4.4,4.9,8.1,8.4,7.8,7.5,9.6,14,11,11,
0,INTL.26-4-JAM-BCF.A,"Dry natural gas exports, Jamaica, Annual",JAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-JOR-BCF.A,"Dry natural gas exports, Jordan, Annual",JOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,48,13,13,,
